,smiles,homo,lumo,gap,mol_wt,nhoh_ct,valence,mole_logp,tpsa,enthalpy
0,O=C1CNC(=O)N1,-0.266,-0.0096,0.2565,100.027277368,2,38,-1.1742,58.2,-376.654541
1,CCC1(O)CCC1,-0.2513,0.0706,0.3219,100.088815004,1,42,1.3114,20.23,-310.9066
2,CC1(COC1)C#N,-0.2711,0.0198,0.2909,97.052763844,0,38,0.5464800000000001,33.019999999999996,-324.561173
3,NC(=O)OC1CC1,-0.265,0.0562,0.3212,101.047678464,2,40,0.24410000000000004,52.32000000000001,-361.732099
4,CC1OCC(=O)O1,-0.2728,0.0037,0.2765,102.031694052,0,40,-0.09420000000000006,35.53,-381.628571
5,CC1CNC(=O)O1,-0.2604,0.0537,0.3141,101.047678464,1,40,0.11470000000000008,38.33,-361.765626
6,N=C1NC(=O)C=C1,-0.2673,-0.0808,0.1865,96.032362748,2,36,-0.35033000000000003,52.95,-339.484329
7,CC12CC(C1)CO2,-0.2332,0.0911,0.3243,98.07316494,0,40,1.1853,9.23,-309.698809
8,CCC1CC(=O)C1,-0.2392,-0.0162,0.223,98.07316494,0,40,1.3755,17.07,-309.727004
9,CC(O)C(C)CO,-0.2518,0.0657,0.3175,104.083729624,2,44,-0.0043999999999999595,40.46,-348.041861
10,CC#CC1(C)CC1,-0.225,0.0633,0.2883,94.07825032,0,38,1.8098,0.0,-272.545293
11,CN1CCC(=O)C1,-0.211,-0.0175,0.1935,99.068413908,0,40,-0.10899999999999999,20.310000000000002,-325.781523
12,CCC(=O)C(C)=O,-0.2389,-0.0809,0.158,100.052429496,0,40,0.5545,34.14,-345.686402
13,CN1CC2(CO2)C1,-0.2155,0.0814,0.2969,99.068413908,0,40,-0.29920000000000013,15.77,-325.713206
14,CC1CC=C(C)C1,-0.2237,0.0359,0.2596,96.093900384,0,40,2.3626000000000005,0.0,-273.804322
15,OCC1CC(=O)O1,-0.2796,0.0025,0.2821,102.031694052,1,40,-0.7058,46.53,-381.605112
16,CC12CC(CC1)O2,-0.2399,0.0895,0.3293,98.07316494,0,40,1.3277999999999999,9.23,-309.703173
17,CC1(O)CC2OC12,-0.2542,0.0708,0.325,100.052429496,1,40,-0.09150000000000014,32.76,-345.604536
18,CC(=O)C1(C)CO1,-0.2466,-0.0235,0.2232,100.052429496,0,40,0.36429999999999996,29.6,-345.649638
19,CC(=O)C(=O)CO,-0.2585,-0.0974,0.1612,102.031694052,1,40,-0.8632000000000002,54.370000000000005,-381.607936
20,CC12CC1C(=O)N2,-0.2431,0.0119,0.2549,97.052763844,1,38,-0.1051999999999999,29.1,-324.56898
21,N=C1COC(=N)N1,-0.2499,0.0033,0.2533,99.04326178,3,38,-0.48176000000000013,68.96,-356.721534
22,CC(C)C(=O)CO,-0.2628,-0.0244,0.2384,102.06807956,1,42,0.20380000000000004,37.3,-346.868893
23,CCC(=O)C(N)=N,-0.2473,-0.0499,0.1974,100.063662876,3,40,-0.0985299999999999,66.94,-341.860877
24,CCCC1(C)CO1,-0.2586,0.0878,0.3464,100.088815004,0,42,1.5754000000000001,12.53,-310.902188
25,CC1(O)C2COC12,-0.2247,0.0704,0.2951,100.052429496,1,40,-0.23399999999999999,29.46,-345.592304
26,CC1(C)C2CC1C2,-0.2809,0.0939,0.3748,96.093900384,0,40,2.0524,0.0,-273.72454
27,CC(N)C(N)C#N,-0.2381,0.0205,0.2587,99.07964728799999,4,40,-0.81552,75.83,-321.948992
28,CN(C=N)C(N)=O,-0.2439,0.0078,0.2517,101.058911844,3,40,-0.3960299999999998,70.18,-357.930841
29,CC1=CCC(=O)N1,-0.2108,0.0052,0.216,97.052763844,1,38,0.41009999999999996,29.1,-324.626923
30,O=C1CCC(=O)C1,-0.2427,-0.0443,0.1984,98.036779432,0,38,0.3085,34.14,-344.498577
31,OC1(COC1)C#C,-0.2539,0.0194,0.2733,98.036779432,1,38,-0.6191,29.46,-344.377269
32,CC12CC1C(O)C2,-0.2448,0.078,0.3228,98.07316494,1,40,0.7771999999999999,20.23,-309.683569
33,CC1(C)CC2NC12,-0.225,0.0879,0.3129,97.08914935199999,1,40,0.7566999999999999,21.94,-289.794172
34,N=C1CCC(=O)N1,-0.2573,-0.0057,0.2516,98.048012812,2,38,-0.12633,52.95,-340.692739
35,OCC1CC(O)C1,-0.254,0.0759,0.3299,102.06807956,2,42,-0.2504000000000001,40.46,-346.824551
36,N=C1CNC(=O)N1,-0.2524,0.0051,0.2575,99.04326178,3,38,-0.7235300000000002,64.98,-356.751201
37,CC(=O)CC1CC1,-0.2366,-0.0084,0.2282,98.07316494,0,40,1.3755,17.07,-309.718683
38,CC1CC(CO)O1,-0.2462,0.0758,0.322,102.06807956,1,42,0.15609999999999996,29.46,-346.830573
39,COCC1(C)CC1,-0.2509,0.0847,0.3357,100.088815004,0,42,1.4329,9.23,-310.890001
40,CC#CC1(C)CO1,-0.2449,0.0353,0.2802,96.057514876,0,38,0.7986,12.53,-308.467768
41,O=CC12CC(C1)O2,-0.2522,-0.0431,0.2091,98.036779432,0,38,0.11669999999999991,26.3,-344.377934
42,CC(O)C1(C)CC1,-0.2606,0.0735,0.3341,100.088815004,1,42,1.1673,20.23,-310.901861
43,CN1CC1(C)CO,-0.2295,0.0816,0.311,101.084063972,1,42,-0.3172000000000001,23.240000000000002,-326.93499
44,CC1COC(=N)O1,-0.2522,0.0577,0.3099,101.047678464,1,40,0.35647,42.31,-361.732685
45,O=C1CC(O1)C#N,-0.3048,-0.0226,0.2823,97.016378336,0,36,-0.17452,50.09,-359.335537
46,NC1CC1(N)C#N,-0.2386,0.0318,0.2705,97.06399722399999,4,38,-1.06152,75.83,-320.732614
47,CC12CC1(C)OC2,-0.224,0.0877,0.3117,98.07316494,0,40,1.1853,9.23,-309.679067
48,CC1COC(C)=N1,-0.2397,0.0312,0.2709,99.068413908,0,40,0.8235,21.59,-325.801841
49,COC(=O)C(N)=O,-0.251,-0.0451,0.2059,103.02694302,2,40,-1.3553000000000002,69.39,-397.70068
50,CN1CC1(C)C#N,-0.2531,0.0254,0.2784,96.06874825599999,0,38,0.21407999999999994,26.799999999999997,-304.673753
51,OC1COCC=C1,-0.2514,0.0148,0.2662,100.052429496,1,40,-0.06630000000000003,29.46,-345.640162
52,CC1CN1CC=O,-0.2392,-0.0224,0.2168,99.068413908,0,40,-0.11060000000000003,20.08,-325.742215
53,CC12NC3C1NC23,-0.2222,0.0692,0.2914,96.06874825599999,2,38,-0.9291,24.06,-304.577091
54,CC12OC1CC2=O,-0.2423,-0.0253,0.217,98.036779432,0,38,0.11670000000000003,29.6,-344.427484
55,CC1C2OCC12O,-0.2254,0.0633,0.2887,100.052429496,1,40,-0.23400000000000004,29.46,-345.593635
56,CC12CC3OC1C23,-0.2245,0.0819,0.3064,96.057514876,0,38,0.7936,9.23,-308.443754
57,CC1NC11COC1,-0.242,0.0611,0.3031,99.068413908,1,40,-0.2529000000000001,31.17,-325.718255
58,CC12CCC1CC2,-0.2572,0.0843,0.3415,96.093900384,0,40,2.1965000000000003,0.0,-273.757877
59,CC(C)C1CCC1,-0.2829,0.0856,0.3685,98.109550448,0,42,2.442500000000001,0.0,-274.976805
60,OC1CCCC1=O,-0.2511,-0.0276,0.2234,100.052429496,1,40,0.10030000000000006,37.3,-345.680159
61,CC1CC=CC1C,-0.2345,0.0292,0.2637,96.093900384,0,40,2.2184999999999997,0.0,-273.795636
62,[NH3+]C1CC1C([O-])=O,-0.2475,0.0259,0.2734,101.047678464,3,40,-2.6332999999999993,67.77000000000001,-361.727206
63,N=C1CNCCO1,-0.2305,0.0196,0.2502,100.063662876,2,40,-0.4165300000000003,45.11,-341.829608
64,O=C1CNCCN1,-0.2288,0.0339,0.2627,100.063662876,2,40,-1.2942,41.13,-341.859909
65,CC1CC(C)C1=O,-0.2335,-0.0142,0.2193,98.07316494,0,40,1.2314,17.07,-309.730308
66,OC1CC2CC1O2,-0.2442,0.0826,0.3268,100.052429496,1,40,-0.09150000000000014,29.46,-345.622572
67,NC1CCOC1=O,-0.2438,0.0095,0.2533,101.047678464,2,40,-0.7394000000000003,52.32,-361.744885
68,O=C1NCCC=C1,-0.2393,-0.0314,0.2079,97.052763844,1,38,0.0625,29.1,-324.618505
69,NC1=NC2CC2O1,-0.2181,0.0534,0.2715,98.048012812,2,38,-0.5278000000000003,47.61,-340.630684
70,O=C1CC2CC2C1,-0.2394,-0.016,0.2233,96.057514876,0,38,0.9854,17.07,-308.533966
71,OC12CC3C1CC23,-0.2545,0.0802,0.3347,96.057514876,1,38,0.3871,20.23,-308.43432
72,C#CCC1CCO1,-0.2445,0.0503,0.2948,96.057514876,0,38,0.7986,9.23,-308.454737
73,CC1OCOC1C,-0.2495,0.0859,0.3354,102.06807956,0,42,0.7676999999999999,18.46,-346.854617
74,OC1CC1CC=O,-0.2436,-0.0163,0.2274,100.052429496,1,40,-0.04380000000000006,37.3,-345.631468
75,CC12CN1CC2=O,-0.2437,-0.0201,0.2236,97.052763844,0,38,-0.35660000000000003,20.08,-324.546597
76,CC1CCC=CC1,-0.2345,0.0336,0.268,96.093900384,0,40,2.3626000000000005,0.0,-273.80365
77,CC12CC1NC2=O,-0.242,0.0113,0.2532,97.052763844,1,38,-0.10520000000000013,29.1,-324.56712
78,CC1OC(=N)C1N,-0.2475,0.0213,0.2688,100.063662876,3,40,-0.29033000000000014,59.099999999999994,-341.823675
79,CC1COC=NC1,-0.2443,0.0284,0.2727,99.068413908,0,40,0.681,21.59,-325.788109
80,COCC1CC1C,-0.248,0.0899,0.3379,100.088815004,0,42,1.2888000000000002,9.23,-310.886038
81,CC1C(O)CC1O,-0.2464,0.0678,0.3141,102.06807956,2,42,-0.252,40.46,-346.828432
82,C1C2CC1C=CC2,-0.2297,0.0237,0.2535,94.07825032,0,38,1.9725,0.0,-272.5745
83,CC1C2COC12C,-0.2277,0.0832,0.3109,98.07316494,0,40,1.0412,9.23,-309.676019
84,N=COC1COC1,-0.2589,0.018,0.2769,101.047678464,1,40,0.008869999999999933,42.31,-361.669942
85,N=C1OC2CC1C2,-0.2554,0.0314,0.2868,97.052763844,1,38,0.77247,33.08,-324.56181
86,CC1OCOC1=N,-0.2689,0.0189,0.2878,101.047678464,1,40,0.35647,42.31,-361.721595
87,CC1NC(=O)C1O,-0.2494,0.0209,0.2703,101.047678464,2,40,-1.1344,49.33,-361.723067
88,CC1C(O)CC1=O,-0.2386,-0.0168,0.2218,100.052429496,1,40,-0.043800000000000006,37.3,-345.652087
89,CC12NC1CC=C2,-0.2264,0.0198,0.2462,95.073499288,1,38,0.6768000000000001,21.94,-288.620353
90,CN1CC1CCO,-0.2226,0.0765,0.2991,101.084063972,1,42,-0.3172000000000001,23.240000000000002,-326.92562
91,O=C1CCCC=C1,-0.2353,-0.0468,0.1885,96.057514876,0,38,1.2955999999999999,17.07,-308.554247
92,O=C1CCC=CN1,-0.2173,-0.0032,0.2141,97.052763844,1,38,0.41009999999999996,29.1,-324.623253
93,CC(C)C1OC1C,-0.2563,0.0865,0.3428,100.088815004,0,42,1.4297,12.53,-310.903312
94,OC1CC2OC2C1,-0.2452,0.0777,0.3229,100.052429496,1,40,-0.09149999999999991,32.76,-345.634882
95,CC1CC11COC1,-0.2394,0.0717,0.3111,98.07316494,0,40,1.0428,9.23,-309.6735
96,O=C1OCCC=C1,-0.2631,-0.0462,0.2169,98.036779432,0,38,0.48950000000000005,26.3,-344.492443
97,CC1OC=NC1C,-0.2442,0.0254,0.2696,99.068413908,0,40,0.8219,21.59,-325.792623
98,CC1CC2CC12C,-0.2419,0.0882,0.3301,96.093900384,0,40,2.0524,0.0,-273.757509
99,COCC1OC1C,-0.2544,0.0852,0.3396,102.06807956,0,42,0.42010000000000003,21.759999999999998,-346.812271
100,CN1C=CCC1=O,-0.2092,0.0002,0.2094,97.052763844,0,38,0.3622,20.310000000000002,-324.616237
101,O=C1CCNC=C1,-0.2163,-0.0262,0.19,97.052763844,1,38,0.06250000000000006,29.1,-324.607943
102,CC12OC1CC2O,-0.2469,0.0838,0.3307,100.052429496,1,40,-0.09150000000000008,32.76,-345.612454
103,CC1CC1C(N)=O,-0.2437,0.0297,0.2734,99.068413908,2,40,0.12770000000000004,43.09,-325.799031
104,CC1=CC2CC1C2,-0.2118,0.0258,0.2377,94.07825032,0,38,1.9725,0.0,-272.550367
105,CCCC1OC1C,-0.2566,0.0946,0.3511,100.088815004,0,42,1.5737999999999999,12.53,-310.901982
106,CC1=NCCCO1,-0.238,0.0338,0.2718,99.068413908,0,40,0.8251000000000001,21.59,-325.796814
107,CC1=CCOC1=N,-0.2417,-0.0216,0.2201,97.052763844,1,38,0.94017,33.08,-324.60274
108,CC1C2CCC12O,-0.2432,0.0822,0.3255,98.07316494,1,40,0.7771999999999999,20.23,-309.67933
109,CN1CCOC1=O,-0.2473,0.0552,0.3025,101.047678464,0,40,0.06840000000000002,29.54,-361.756857
110,O=CNC1COC1,-0.2564,0.0197,0.2761,101.047678464,1,40,-0.8688000000000002,38.33,-361.702411
111,CC(O)C1NC1C,-0.2434,0.073,0.3164,101.084063972,2,42,-0.2725000000000002,42.17,-326.943545
112,O=C1CCCCN1,-0.2344,0.0337,0.2681,99.068413908,1,40,0.28650000000000003,29.1,-325.824368
113,CN1CC1C(C)=O,-0.2272,-0.024,0.2032,99.068413908,0,40,-0.11060000000000003,20.08,-325.755993
114,CC12OC3CC1C23,-0.2252,0.0905,0.3157,96.057514876,0,38,0.7936,9.23,-308.448106
115,C1C2CC1OCO2,-0.243,0.0906,0.3336,100.052429496,0,40,0.5216999999999999,18.46,-345.619556
116,CC1OC1CCO,-0.2601,0.0787,0.3388,102.06807956,1,42,0.15609999999999996,32.76,-346.822171
117,OC12CC3C1N3C2,-0.2282,0.0654,0.2936,97.052763844,1,38,-0.8124,23.240000000000002,-324.493721
118,CC(=O)C1CC1O,-0.2418,-0.0222,0.2196,100.052429496,1,40,-0.043800000000000006,37.3,-345.655591
119,CC1C2OCC12C,-0.2284,0.0799,0.3083,98.07316494,0,40,1.0412,9.23,-309.67174
120,CC12CCC1OC2,-0.2382,0.0719,0.3101,98.07316494,0,40,1.1853,9.23,-309.681046
121,CC1=CC2CC2C1,-0.2156,0.0292,0.2447,94.07825032,0,38,1.9725,0.0,-272.582541
122,O=C1CNCC=C1,-0.2164,-0.0521,0.1643,97.052763844,1,38,-0.2850999999999999,29.1,-324.588411
123,CC#CC1COC1,-0.2463,0.0457,0.292,96.057514876,0,38,0.6561,9.23,-308.461531
124,N#CCC1CCO1,-0.2643,0.0283,0.2926,97.052763844,0,38,0.6889799999999999,33.019999999999996,-324.563063
125,NC(=O)C1CC1O,-0.2359,0.0182,0.2541,101.047678464,3,40,-1.1475000000000004,63.32000000000001,-361.727204
126,OC12CC3CC1C23,-0.2393,0.0812,0.3205,96.057514876,1,38,0.3871,20.23,-308.452708
127,N#CCC1COC1,-0.262,0.0244,0.2864,97.052763844,0,38,0.5464800000000001,33.019999999999996,-324.558729
128,CC12CCC1CO2,-0.2366,0.0782,0.3148,98.07316494,0,40,1.1853,9.23,-309.684983
129,CC12CC1OCO2,-0.2269,0.0924,0.3193,100.052429496,0,40,0.5216999999999999,18.46,-345.625148
130,CC1CC(=O)N1C,-0.2392,0.0405,0.2797,99.068413908,0,40,0.237,20.310000000000002,-325.800213
131,CC12CC3C(O1)C23,-0.2267,0.0851,0.3119,96.057514876,0,38,0.7936,9.23,-308.448709
132,CC1OC2CC1C2,-0.2346,0.0977,0.3323,98.07316494,0,40,1.1837,9.23,-309.694575
133,CC1C2OC1C2O,-0.2388,0.0633,0.3021,100.052429496,1,40,-0.2356000000000001,29.46,-345.571393
134,O=C1NCC=CN1,-0.2111,0.0137,0.2248,98.048012812,2,38,-0.1871,41.13,-340.682299
135,OC1CC1OC=N,-0.2443,0.0132,0.2575,101.047678464,2,40,-0.25673000000000007,53.31,-361.670071
136,C#CC(C#C)C#C,-0.2684,0.0267,0.2952,88.031300128,0,32,0.5022,0.0,-268.851104
137,O=CNC1CCC1,-0.2488,0.0311,0.2799,99.068413908,1,40,0.2848999999999997,29.1,-325.786496
138,CC1N=CNC1=O,-0.2463,-0.0165,0.2298,98.048012812,1,38,-0.467,41.46,-340.681546
139,O=C1CCCCC1,-0.2332,-0.0094,0.2238,98.07316494,0,40,1.5196,17.07,-309.756668
140,CC1C2NC1C2=O,-0.248,0.002,0.25,97.052763844,1,38,-0.45440000000000014,29.1,-324.513185
141,CC1=CCCC1O,-0.2389,0.0226,0.2615,98.07316494,1,40,1.0874000000000001,20.23,-309.729534
142,O=C1CC2CC1O2,-0.2334,-0.0197,0.2137,98.036779432,0,38,0.11670000000000003,26.3,-344.436028
143,COCC1COC1,-0.2439,0.0828,0.3267,102.06807956,0,42,0.2792,18.46,-346.806976
144,CC1CC(=O)C1O,-0.25,-0.0271,0.2229,100.052429496,1,40,-0.043800000000000006,37.3,-345.651602
145,CC12NC1CC2O,-0.2323,0.0745,0.3068,99.068413908,2,40,-0.5185000000000002,42.17,-325.72814
146,CC12CC1CC2=O,-0.237,-0.0047,0.2322,96.057514876,0,38,0.9854,17.07,-308.509464
147,CC(O)C1CCO1,-0.2519,0.0719,0.3238,102.06807956,1,42,0.15609999999999996,29.46,-346.829859
148,CC1OC(C)C1=O,-0.2511,-0.0299,0.2213,100.052429496,0,40,0.3627,26.3,-345.653175
149,CC1CCCC=C1,-0.2348,0.0303,0.2651,96.093900384,0,40,2.3626000000000005,0.0,-273.802921
150,O=C1COC=NC1,-0.2421,-0.0374,0.2046,99.0320284,0,38,-0.3859999999999999,38.66,-360.525406
151,N=C1CCCCO1,-0.2539,0.0233,0.2772,99.068413908,1,40,1.1641700000000001,33.08,-325.794637
152,CN1CC1C(N)=O,-0.2241,0.0152,0.2393,100.063662876,2,40,-1.2142999999999995,46.1,-341.827778
153,CC1COCC1O,-0.2408,0.0672,0.308,102.06807956,1,42,0.013600000000000001,29.46,-346.848249
154,CC12CC=CC1N2,-0.2247,0.0093,0.2339,95.073499288,1,38,0.6767999999999998,21.94,-288.623704
155,CC1OC11CCC1,-0.2541,0.0794,0.3335,98.07316494,0,40,1.3277999999999999,12.53,-309.688471
156,O=C1NCCCN1,-0.2353,0.0609,0.2962,100.063662876,2,40,-0.31070000000000014,41.13,-341.883641
157,OC12CC1C=CC2,-0.2267,0.0207,0.2474,96.057514876,1,38,0.6973,20.23,-308.502292
158,OC1CCCCC1,-0.2575,0.0809,0.3384,100.088815004,1,42,1.3114,20.23,-310.937276
159,CC1CN1CC#C,-0.227,0.0397,0.2667,95.073499288,0,38,0.3237000000000001,3.01,-288.561334
160,CC1OCCC=C1,-0.2424,0.0227,0.2651,98.07316494,0,40,1.3514,9.23,-309.722702
161,CC1OC(=N)C1C,-0.2579,0.0309,0.2888,99.068413908,1,40,1.01847,33.08,-325.780069
162,CC1NC1CC=O,-0.2396,-0.0187,0.2209,99.068413908,1,40,-0.06430000000000025,39.010000000000005,-325.752806
163,CC1OCCC1=O,-0.2422,-0.0251,0.2171,100.052429496,0,40,0.36430000000000007,26.3,-345.673086
164,CC1C2CCC12C,-0.2394,0.0916,0.331,96.093900384,0,40,2.0524,0.0,-273.756107
165,NC12CC1OC2=N,-0.2443,0.0186,0.2629,98.048012812,3,38,-0.5363300000000002,59.1,-340.588866
166,CC12CC=CC1O2,-0.2424,0.0043,0.2467,96.057514876,0,38,1.1038,12.53,-308.506034
167,CC1CC2CC1C2,-0.2924,0.0916,0.384,96.093900384,0,40,2.0524,0.0,-273.773843
168,CC1C2OC1C2C,-0.2343,0.0892,0.3235,98.07316494,0,40,1.0396,9.23,-309.644058
169,OC12CC1OC2=N,-0.2623,0.0144,0.2767,99.0320284,2,38,-0.5027300000000001,53.31,-360.462292
170,OC12CN3C1CC23,-0.244,0.0724,0.3163,97.052763844,1,38,-0.8124,23.47,-324.468456
171,CC1OCC=C1C,-0.2248,0.0252,0.25,98.07316494,0,40,1.3514,9.23,-309.725486
172,CC(O)C1COC1,-0.2417,0.0647,0.3064,102.06807956,1,42,0.013600000000000056,29.46,-346.820396
173,OC12CC1CCC2,-0.2494,0.0836,0.3331,98.07316494,1,40,0.9213,20.23,-309.712315
174,CC1C=CNC1=O,-0.2159,-0.0013,0.2147,97.052763844,1,38,0.26600000000000007,29.1,-324.618699
175,CCCC1CC1C,-0.2615,0.0923,0.3538,98.109550448,0,42,2.442500000000001,0.0,-274.973709
176,CCCC1CN1C,-0.2198,0.0846,0.3043,99.10479941599999,0,42,1.1005,3.01,-291.005326
177,OC1COCOC1,-0.254,0.0609,0.3149,104.047344116,1,42,-0.6484000000000001,38.69,-382.774486
178,OC12CC1OCC2,-0.2266,0.0755,0.302,100.052429496,1,40,-0.08990000000000009,29.46,-345.625976
179,CC1N=COC1=O,-0.2743,-0.0288,0.2455,99.0320284,0,38,-0.040000000000000036,38.66,-360.557457
180,CC#CC1CCO1,-0.2423,0.0294,0.2717,96.057514876,0,38,0.7986,9.23,-308.462513
181,OC1C=CNC1=O,-0.2281,-0.0232,0.2049,99.0320284,2,38,-1.0092,49.33,-360.535287
182,N=C1CCOCO1,-0.2642,0.0132,0.2774,101.047678464,1,40,0.35806999999999994,42.31,-361.716672
183,[O-]C(=O)C1C[NH2+]C1,-0.2563,0.0182,0.2745,101.04767846399999,2,40,-3.070499999999999,56.739999999999995,-361.715257
184,CN1CC1CC=O,-0.2324,-0.0248,0.2076,99.068413908,0,40,-0.11060000000000003,20.08,-325.739672
185,OC1CCCC1O,-0.252,0.0647,0.3167,102.06807956,2,42,-0.10790000000000005,40.46,-346.857343
186,O=C1NC2CC1C2,-0.2382,0.0216,0.2598,97.052763844,1,38,-0.1052000000000004,29.1,-324.579222
187,OCCC1CCO1,-0.244,0.0787,0.3227,102.06807956,1,42,0.15769999999999995,29.46,-346.81964
188,O=C1OC2CC2O1,-0.2878,0.0351,0.3229,100.016043988,0,38,0.2941,35.53,-380.408954
189,CC1=C(C)COC1,-0.2197,0.0289,0.2486,98.07316494,0,40,1.353,9.23,-309.726212
190,CC12CC1OC2=N,-0.2582,0.0219,0.2801,97.052763844,1,38,0.77247,33.08,-324.543903
191,OC1CCNC1=O,-0.2508,0.0249,0.2757,101.047678464,2,40,-1.1328,49.33,-361.75068
192,CC1NC1CC#C,-0.2443,0.0584,0.3027,95.073499288,1,38,0.37000000000000005,21.94,-288.573867
193,CC1CC=CCO1,-0.2415,0.0257,0.2671,98.07316494,0,40,1.3514,9.23,-309.723316
194,CC1CN(C)C1=O,-0.24,0.0387,0.2787,99.068413908,0,40,0.09450000000000003,20.310000000000002,-325.797725
195,OC1C2CCC12O,-0.2425,0.0728,0.3153,100.052429496,2,40,-0.49799999999999994,40.46,-345.604803
196,COCC1CN1C,-0.2241,0.0811,0.3053,101.084063972,0,42,-0.053199999999999914,12.24,-326.918212
197,CC1CC1CC#C,-0.2552,0.0586,0.3138,94.07825032,0,38,1.6657,0.0,-272.530161
198,CC1CCCC1O,-0.2603,0.0684,0.3287,100.088815004,1,42,1.1673,20.23,-310.929967
199,C1C2CCCC1O2,-0.2356,0.0773,0.313,98.07316494,0,40,1.3277999999999999,9.23,-309.705496
